Title,Year,link,Cast & Director,Rating,Number of reviews
Amadeus,1984,https://www.imdb.com/title/tt0086879/,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3,349651
Reservoir Dogs,1992,https://www.imdb.com/title/tt0105236/,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,865973
Inglourious Basterds,2009,https://www.imdb.com/title/tt0361748/,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,1180650
Good Will Hunting,1997,https://www.imdb.com/title/tt0119217/,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3,802607
2001: A Space Odyssey,1968,https://www.imdb.com/title/tt0062622/,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3,566110
M - Eine Stadt sucht einen Mörder,1931,https://www.imdb.com/title/tt0022100/,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3,133761
Requiem for a Dream,2000,https://www.imdb.com/title/tt0180093/,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3,725113
Vertigo,1958,https://www.imdb.com/title/tt0052357/,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.3,336034
Dangal,2016,https://www.imdb.com/title/tt5074352/,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.3,135370
Eternal Sunshine of the Spotless Mind,2004,https://www.imdb.com/title/tt0338013/,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3,855226
Citizen Kane,1941,https://www.imdb.com/title/tt0033467/,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3,376242
Jagten,2012,https://www.imdb.com/title/tt2106476/,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3,255769
Full Metal Jacket,1987,https://www.imdb.com/title/tt0093058/,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.3,635543
North by Northwest,1959,https://www.imdb.com/title/tt0053125/,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.3,281880
A Clockwork Orange,1971,https://www.imdb.com/title/tt0066921/,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.3,716491
Snatch,2000,https://www.imdb.com/title/tt0208092/,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.2,743225
The Kid,1921,https://www.imdb.com/title/tt0012349/,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.2,103565
Ladri di biciclette,1948,https://www.imdb.com/title/tt0040522/,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.2,134407
Singin' in the Rain,1952,https://www.imdb.com/title/tt0045152/,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.2,205347
Scarface,1983,https://www.imdb.com/title/tt0086250/,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2,693127
Taxi Driver,1976,https://www.imdb.com/title/tt0075314/,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.2,673501
Amélie,2001,https://www.imdb.com/title/tt0211915/,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.2,672118
Lawrence of Arabia,1962,https://www.imdb.com/title/tt0056172/,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.2,252199
Toy Story 3,2010,https://www.imdb.com/title/tt0435761/,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.2,716923
The Sting,1973,https://www.imdb.com/title/tt0070735/,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.2,228537
Capharnaüm,2018,https://www.imdb.com/title/tt8267604/,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.2,37447
Metropolis,1927,https://www.imdb.com/title/tt0017136/,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2,150380
Per qualche dollaro in più,1965,https://www.imdb.com/title/tt0059578/,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2,216744
Ikiru,1952,https://www.imdb.com/title/tt0044741/,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.2,61614
Jodaeiye Nader az Simin,2011,https://www.imdb.com/title/tt1832382/,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2,205845
Double Indemnity,1944,https://www.imdb.com/title/tt0036775/,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2,133817
To Kill a Mockingbird,1962,https://www.imdb.com/title/tt0056592/,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.2,281062
The Apartment,1960,https://www.imdb.com/title/tt0053604/,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2,151591
Indiana Jones and the Last Crusade,1989,https://www.imdb.com/title/tt0097576/,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2,656700
Incendies,2010,https://www.imdb.com/title/tt1255953/,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,132180
Up,2009,https://www.imdb.com/title/tt1049413/,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2,881377
